Symbol,totalCash,totalDebt,earningsQuarterlyGrowth,payoutRatio,dividendYield,fiveYearAvgDividendYield
ABX.TO,5240000000,5095000064,-0.305,0.45790002,0.0279,1.46
ACO-X.TO,1271000064,10272000000,0.365,0.5392,0.043,3.89
ADEN.TO,18007000,830812992,-0.113,0.056900002,0.0177,1.75
AEM.TO,830160000,1470534016,-0.33,1.0915,0.0294,1.68
ALS.TO,98223000,123887000,0.077,0.3973,0.0135,1.45
AP-UN.TO,12598000,4144484096,-0.584,0.4683,0.060300004,3.99
AQN.TO,114313000,7786553856,None,10.04,0.108,4.57
ARE.TO,488527008,1007196992,-0.103,2.0857,0.0701,3.89
ATD.TO,2484400128,9240999936,0.166,0.1228,0.009,0.65
BAM.TO,None,None,None,None,None,None
BCE.TO,733000000,31456000000,-0.047,1.1764,0.0584,5.48
BDGI.TO,8007000,173266000,0.476,1.8644999,0.0223,1.71
BMO.TO,362644013056,273185996800,1.076,0.2721,0.0436,4.05
BN.TO,11306000384,204476006400,-0.469,0.26569998,0.0162,1.24
BNS.TO,404103004160,239137996800,-0.174,0.5062,0.0592,4.92
BYD.TO,13867000,954662976,26.355,0.3009,0.0028,0.33
CAR-UN.TO,127863000,6949328896,-0.668,0.5029,0.0307,2.82
CCA.TO,407756992,4950644224,0.044,0.2284,0.042600002,2.54
CCL-B.TO,700800000,2479000064,0.069,0.2688,0.0161,1.16
CF.TO,1680534016,457716992,-0.697,0.31129998,0.0301,1.98
CGO.TO,379000992,4747243008,0.101,0.26680002,0.0428,2.52
CJT.TO,6300000,599800000,None,0.0665,0.0094,0.81
CM.TO,242912002048,203881005056,-0.18,0.48950002,0.058000002,4.96
CNQ.TO,968000000,14478999552,0.278,0.2766,0.044699997,4.18
CNR.TO,403000000,15749000192,-0.137,0.4001,0.0178,1.68
CP.TO,138000000,20854999040,0.888,0.24280001,0.0072000003,0.88
CPX.TO,221000000,3592000000,-0.15,2.1167,0.050100002,5.76
CRT-UN.TO,6082000,2849999104,-0.015,0.6339,0.052399997,5.25
CSH-UN.TO,12666000,2384500992,3.665,20.0715,0.0657,4.96
CTC-A.TO,489800000,10615499776,-0.241,0.3197,0.0448,2.8
CU.TO,911000000,9688000512,0.535,0.8093,0.047399998,4.78
CWB.TO,226500000,3950441984,-0.23,0.35990003,0.0478,3.69
DOL.TO,559158976,4588853248,0.099,0.0838,0.0027,0.35
EIF.TO,97397000,1789252992,1.235,0.8969,0.047,6.21
EMA.TO,526000000,18374000640,None,0.88629997,0.0521,4.65
EMP-A.TO,367000000,7376300032,0.083,0.2188,0.018,1.5
ENB.TO,1148999936,82237997056,0.746,1.2648001,0.0635,6.47
ENGH.TO,228054000,19877000,0.224,0.4059,0.0186,1.2
EQB.TO,1438587008,13402158080,0.07,0.122600004,0.0226,1.51
FN.TO,2051284992,41332678656,-0.157,0.7253,0.0624,5.79
FNV.TO,1057400000,0,-0.054,0.3182,0.0088,0.97
FSV.TO,160475008,896147968,-0.251,0.3086,0.006,0.57
FSZ.TO,35227000,755099008,2.715,1.5636001,0.0971,7.82
FTS.TO,395000000,29071998976,0.1,0.79260004,0.0405,3.63
FTT.TO,120000000,2339000064,0.505,0.30629998,0.0256,3.11
GRT-UN.TO,274300992,3075461120,None,0.3443,0.0419,4.15
GSY.TO,141588992,2196186880,-0.257,0.3539,0.0311,2.09
GWO.TO,135938998272,9980000256,-0.204,0.6179,0.057600003,5.39
IAG.TO,1771000064,3276000000,-0.022,0.3437,0.0335,3.18
IFC.TO,2889999872,5417999872,0.254,0.2583,0.0201,2.27
IIP-UN.TO,2337000,1682801024,-0.687,0.1585,0.0255,2.21
IMO.TO,3576000000,4373000192,1.237,0.13229999,0.026800001,2.52
INE.TO,216851008,5721106944,None,None,0.0436,4.09
JWEL.TO,13980000,483172992,-0.238,0.51240003,0.019,1.46
KEY.TO,54202000,3944617984,0.768,0.84580004,0.061100002,6.5
KMP-UN.TO,10143000,2189873920,-0.923,0.387,0.039,3.72
L.TO,1708000000,17461000192,0.288,0.24209999,0.0139999995,1.66
MFC.TO,26858000384,25169000448,0.05,0.352,0.0521,4.64
MFI.TO,106199000,1815790976,None,None,0.0304,2.25
MG.TO,1102000000,4940000256,25.273,0.5494,0.028199999,2.62
MRU.TO,13400000,4137200128,-0.133,0.30629998,0.015,1.5
NA.TO,156587999232,55311998976,-0.009,0.3725,0.0397,3.79
NWC.TO,49029000,418288000,-0.238,0.58889997,0.0417,4.36
ONEX.TO,216000000,67000000,None,1.9329,0.006,0.49
OTEX.TO,1706059008,4474844160,None,1.6467,0.0311,1.79
PAAS.TO,187170000,89253000,None,None,0.0221,1.11
PBH.TO,38300000,2507899904,-0.072,0.7293,0.031,2.25
PKI.TO,292000000,6768000000,-0.045,0.7576,0.041300002,3.3
POW.TO,139376001024,19795400704,-0.423,0.66220003,0.056799997,5.43
PPL.TO,306000000,11288999936,2.111,0.5255,0.0556,5.9
QBR-B.TO,37500000,7018399744,0.031,0.4626,0.0378,2.13
QSR.TO,946000000,14417000448,0.629,0.6981,0.0337,3.18
RBA.TO,438771008,755529984,0.327,0.375,0.0185,1.74
RY.TO,743010009088,462220001280,-0.003,0.44849998,0.0396,3.82
SAP.TO,270000000,4076000000,0.48,0.74230003,0.020299999,1.9
SGR-UN.TO,29728000,1183628032,2.073,0.43490002,0.0726,8.97
SIS.TO,50615000,444519008,1.224,1.2872,0.0353,2.88
SJ.TO,None,935000000,0.912,0.21370001,0.0166,1.44
SLF.TO,84865998848,10138000384,-0.536,0.4972,0.044499997,3.78
SMU-UN.TO,31375000,1414967040,-0.844,0.2159,None,4.15
SRU-UN.TO,19475000,5170455040,-0.981,0.3266,0.064899996,6.49
STN.TO,138700000,2037799936,-0.029,0.4123,0.0104,1.42
T.TO,1458000000,25247000576,0.49,0.91230005,0.0505,4.52
TCL-A.TO,45700000,1190499968,0.541,0.5521,0.0587,4.82
TCS.TO,41787000,13435000,0.01,0.96550006,0.0111,1
TD.TO,547965009920,386844000256,0.764,0.3759,0.0431,3.88
TFII.TO,133140000,1695394944,0.863,0.1378,0.013300001,1.7
TIH.TO,770944000,664636032,0.313,0.316,0.0146,1.43
TRI.TO,834000000,4126000128,None,0.7982,0.0155,2.15
TRP.TO,2862000128,58943000576,0.064,1.0985,0.0627,5.13
WFG.TO,1323000064,532000000,-0.53,0.0431,0.0165,1.11
WN.TO,2668999936,20423000064,5.543,0.16059999,0.0154,1.88
WPM.TO,494617984,2151000,0.456,0.3411,0.0137,1.4
X.TO,480800000,1118000000,0.053,0.3461,0.024300002,2.36
